,Survey wave (calendar quarter),Equivalent financial quarter,Site ID,Location,Survey date,Weather,Time,Period,Direction,Start hour,Start minute,Number of private cycles,Number of cycle hire bikes,Total cycles,date
0,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,06:00:00,Early Morning (06:00-07:00),Northbound,6,0,0,0,0,2014-01-24 06:00:00
1,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,06:15:00,Early Morning (06:00-07:00),Northbound,6,15,15,0,15,2014-01-24 06:15:00
2,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,06:30:00,Early Morning (06:00-07:00),Northbound,6,30,35,0,35,2014-01-24 06:30:00
3,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,06:45:00,Early Morning (06:00-07:00),Northbound,6,45,59,2,61,2014-01-24 06:45:00
4,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,07:00:00,AM peak (07:00-10:00),Northbound,7,0,73,0,73,2014-01-24 07:00:00
5,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,07:15:00,AM peak (07:00-10:00),Northbound,7,15,89,2,91,2014-01-24 07:15:00
6,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,07:30:00,AM peak (07:00-10:00),Northbound,7,30,151,3,154,2014-01-24 07:30:00
7,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,07:45:00,AM peak (07:00-10:00),Northbound,7,45,173,2,175,2014-01-24 07:45:00
8,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,08:00:00,AM peak (07:00-10:00),Northbound,8,0,274,1,275,2014-01-24 08:00:00
9,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,08:15:00,AM peak (07:00-10:00),Northbound,8,15,248,4,252,2014-01-24 08:15:00
10,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,08:30:00,AM peak (07:00-10:00),Northbound,8,30,255,2,257,2014-01-24 08:30:00
11,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,08:45:00,AM peak (07:00-10:00),Northbound,8,45,259,6,265,2014-01-24 08:45:00
12,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,09:00:00,AM peak (07:00-10:00),Northbound,9,0,128,0,128,2014-01-24 09:00:00
13,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,09:15:00,AM peak (07:00-10:00),Northbound,9,15,85,4,89,2014-01-24 09:15:00
14,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,09:30:00,AM peak (07:00-10:00),Northbound,9,30,77,2,79,2014-01-24 09:30:00
15,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,09:45:00,AM peak (07:00-10:00),Northbound,9,45,52,2,54,2014-01-24 09:45:00
16,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,10:00:00,Inter-peak (10:00-16:00),Northbound,10,0,10,2,12,2014-01-24 10:00:00
17,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,10:15:00,Inter-peak (10:00-16:00),Northbound,10,15,7,1,8,2014-01-24 10:15:00
18,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,10:30:00,Inter-peak (10:00-16:00),Northbound,10,30,7,1,8,2014-01-24 10:30:00
19,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,10:45:00,Inter-peak (10:00-16:00),Northbound,10,45,9,0,9,2014-01-24 10:45:00
20,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,11:00:00,Inter-peak (10:00-16:00),Northbound,11,0,6,2,8,2014-01-24 11:00:00
21,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,11:15:00,Inter-peak (10:00-16:00),Northbound,11,15,6,1,7,2014-01-24 11:15:00
22,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,11:30:00,Inter-peak (10:00-16:00),Northbound,11,30,7,2,9,2014-01-24 11:30:00
23,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,11:45:00,Inter-peak (10:00-16:00),Northbound,11,45,7,0,7,2014-01-24 11:45:00
24,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,12:00:00,Inter-peak (10:00-16:00),Northbound,12,0,6,1,7,2014-01-24 12:00:00
25,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,12:15:00,Inter-peak (10:00-16:00),Northbound,12,15,5,2,7,2014-01-24 12:15:00
26,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,12:30:00,Inter-peak (10:00-16:00),Northbound,12,30,6,1,7,2014-01-24 12:30:00
27,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,12:45:00,Inter-peak (10:00-16:00),Northbound,12,45,5,2,7,2014-01-24 12:45:00
28,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,13:00:00,Inter-peak (10:00-16:00),Northbound,13,0,4,2,6,2014-01-24 13:00:00
29,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,13:15:00,Inter-peak (10:00-16:00),Northbound,13,15,5,0,5,2014-01-24 13:15:00
30,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,13:30:00,Inter-peak (10:00-16:00),Northbound,13,30,9,3,12,2014-01-24 13:30:00
